RANK,"FEMALE NAME","NUMBER OF FEMALES"
831,Corinne,327
832,Erica,326
833,Claudia,325
834,Joyce,325
835,Milena,325
836,Alyson,324
837,Carolyn,324
838,Celia,324
839,Kallie,324
840,Emilee,323
841,Paisleigh,323
842,Tinsley,323
843,Zoie,323
844,Frankie,321
845,Jaylee,321
846,Opal,321
847,Aiyana,320
848,Judith,320
849,Amayah,319
850,Amia,319
851,Analia,319
852,Andi,319
853,Chana,319
854,Paula,319
855,Xiomara,319
856,Audrina,318
857,Cara,318
858,Hadlee,318
859,Lyanna,318
860,Rayne,318
861,Amaris,316
862,Gwen,316
863,Rhea,316
864,Clare,315
865,Veda,315
866,Giana,314
867,Sariyah,314
868,Alisha,313
869,Davina,313
870,Lindsey,313
871,Danica,312
872,Kathleen,312
873,Nancy,312
874,Noor,312
875,Lillianna,311
876,Paulina,311
877,Hailee,310
878,Harleigh,310
879,Maxine,310
880,Raylee,310
881,Jessa,309
882,Raquel,308
883,Zainab,308
884,Lisa,307
885,Heavenly,306
886,Aminah,305
887,Patricia,305
888,Oaklynn,304
889,Emmalynn,302
890,India,302
891,Janessa,302
892,Paloma,302
893,Ramona,302
894,Sandra,300
895,Abril,298
896,Emmaline,298
897,Kassandra,298
898,Vienna,298
899,Itzayana,297
900,Marleigh,297
901,Rosalyn,297
902,Barbara,296
903,Kailyn,296
904,Novalee,296
905,Taliyah,295
906,Avalyn,294
907,Meilani,294
908,Hadleigh,293
909,Iliana,293
910,Luella,293
911,Blaire,292
912,Brenda,292
913,Casey,292
914,Jana,292
915,Aadhya,291
916,Alannah,291
917,Annalee,290
918,Malani,289
919,Selene,289
920,Lizbeth,288
921,Miley,288
922,Adrienne,287
923,Aliya,287
924,Bexley,286
925,Nataly,286
926,Zion,286
927,Joslyn,285
928,Maliah,285
929,Breanna,284
930,Estrella,283
931,Jayden,283
932,Kiana,283
933,Melania,283
934,Kaya,282
935,Harmoni,281
936,Ingrid,281
937,Jazlynn,281
938,Kaylin,281
939,Arely,280
940,Jurnee,279
941,Marjorie,279
942,Mylah,279
943,Paityn,279
944,Dana,278
945,Ellianna,278
946,Kailee,278
947,Legacy,278
948,Oaklee,278
949,Ailani,277
950,Courtney,277
951,Holland,277
952,Magdalena,277
953,Carla,276
954,Evalyn,276
955,Halle,276
956,Karlie,276
957,Kenya,275
958,Saoirse,275
959,Susan,275
960,Kaiya,274
961,Aryanna,273
962,Esperanza,273
963,Naya,273
964,Desiree,272
965,Kimora,272
966,Renee,272
967,Ensley,271
968,Treasure,271
969,Ellison,270
970,Adilynn,269
971,Anabelle,268
972,Caylee,268
973,Kristina,268
974,Aranza,267
975,Egypt,267
976,Spencer,267
977,Tegan,267
978,Emerald,266
979,Florence,266
980,Micah,266
981,Sonia,266
982,Vada,266
983,Tara,265
984,Marlowe,264
985,Sunny,264
986,Yara,264
987,Alisa,262
988,Riya,262
989,Sylvie,262
990,Carlee,261
991,Nathalia,261
992,Samira,261
993,Yamileth,261
994,Etta,260
995,Jenny,260
996,Saanvi,260
997,Brenna,259
998,Bryleigh,259
999,Miya,259
1000,Monserrat,259
